Methylation_Level,intestine1,intestine2,intestine3,kidney1,kidney2,kidney3,liver1,liver2,liver3,spleen1,spleen2,spleen3
0,0.3426950606943343,0.43352816074004663,0.32469224101590066,0.29939591136670324,0.313938641395387,0.30285756772162875,0.37042959756581095,0.2931583769743534,0.2975959970052643,0.3582171806470872,0.28726628280939404,0.2557973191802786
10,1.391040513128408,1.1900335618713347,1.9256547131293131,1.3118434161905843,1.0573172303114786,2.055813031301891,4.788421391597316,3.131225675209939,1.6226961540176634,2.7118877586167307,1.0001679480012935,1.7419212452702757
20,16.76512663904352,17.23776379779592,15.233063190651894,13.387814813413543,20.001171412841025,12.33016927309227,14.702396729879933,20.65558198767684,20.797219308065838,13.609726974212954,20.00060160478075,6.845636156233131
30,11.997044965446356,11.92710579673503,11.820834300384137,11.568990957587681,10.171377698642333,12.817913702941834,12.936339121615257,12.807553609105351,12.898251740866174,11.422305908287218,11.162526038206916,13.058160652416115
40,12.342704943753043,12.21885116276764,12.306806932451698,12.387726533237487,11.197301064814273,13.107883714590201,12.572043189769044,12.155249951665644,12.394826335837553,12.361248249098717,11.72602918284524,13.531465463373388
50,14.299303491437565,14.15621886107765,14.454370201257086,14.789199551032247,13.709747326250191,14.458846563731441,13.67456960286705,13.018753730151392,13.260154759306328,14.25704378975407,13.77449346130804,15.695638416396553
60,6.135402845826754,6.0562570333685315,6.525816704006669,6.673476851676692,5.901577893096864,6.336960023792411,6.239471453262563,5.89132755562654,5.567485994447066,6.365243748421319,5.9348311621249685,7.0806931522366305
70,4.52372304704583,4.255218945354135,4.97743021840349,5.4037556909184925,4.354375812667659,5.119581650102853,4.786230796697459,4.484797794272169,4.062607814007196,4.922271464327539,4.551390835052502,5.552290875055507
80,10.513597853399649,10.119127292196493,10.847941721176754,12.533767167341377,11.015966357023206,11.99162308855238,10.03905830706445,9.592268184225347,9.763401794494474,11.200716434361293,11.28836170484768,12.878145283304837
90,21.689360640224542,22.40589538809322,21.583389777523053,21.64402910723519,22.277226562957583,21.478351384173088,19.891039809681114,17.970083135092423,19.335760101952445,22.791338492273074,20.27433178002321,23.36025143653328
