Methylation_Level,intestine1,intestine2,intestine3,kidney1,kidney2,kidney3,liver1,liver2,liver3,spleen1,spleen2,spleen3
0,0.0024767606850561795,0.002858282540593964,0.007758230213523412,0.005699629524080934,0.005553740694219101,0.004765184562007622,0.012169198640843868,0.00669398077693321,0.002642544351047852,0.02331652665099474,0.004056699020483744,0.005401623699496088
10,0.17895980719881968,0.21963916406033646,0.3008647510060179,0.24665222157385167,0.2528106679067876,0.2719741488165231,0.36161598334957573,0.29869016661636916,0.18615855150132554,0.4268576729414391,0.2231964595693075,0.28484913389139327
20,0.8791748699473143,1.0575208718142854,1.0385783830623252,0.7521286910001643,0.7494483454603886,0.9231104850961699,1.1333810280648238,1.1077315033190804,1.0070454871348267,0.9013899460295139,0.8857112508153945,0.8944802966559698
30,1.044524362838477,1.152777107316441,1.221680636828202,0.7774829953513339,0.7390147330859729,0.9416294649712579,1.3129800042856274,1.2822827971884687,1.1864444267538479,0.9113181823927177,0.9314148103265326,0.90123232628034
40,1.6256452189082555,1.644893964069483,1.8293126645525004,1.1440611518981425,1.0406506182615702,1.3723960450570518,1.9230064466931613,1.950583744034629,1.8439036626078895,1.2665033097534188,1.416744649314588,1.320249366936097
50,4.308701077893372,3.981936924691242,4.5432896121089055,3.3234456823798517,2.7021428163916292,3.8411622441569926,4.701295216639042,5.059733956147829,4.854565210746226,3.157917072958203,4.051923776596271,3.660389987451005
60,4.467356195258792,3.9158431107768683,5.033057060616569,4.527202160431001,3.2828967614877342,4.743353988697929,5.393491594953307,5.651739830838732,4.7279840227957965,4.125044512887607,4.564788254887326,4.597560414584399
70,6.7161718110687385,5.884060438066734,7.770676923085898,8.365423906176257,6.239709064246179,8.109211010193565,8.297341919343113,8.38355857503756,6.725407914826239,7.588311344690643,7.301105651675645,7.964724237518121
80,22.75616065535879,21.223327460092023,22.819948247354546,26.042172734962705,23.8786848000023,25.35170896343425,22.647909836837165,23.08678727544678,22.759538653175497,23.7485814661576,25.11272839821116,25.02286756328354
90,58.02082924084239,60.91714267657199,55.43483349117151,54.81573082670261,61.10908845246321,54.440688465014254,54.216808771193335,53.17219817059362,56.706309526107304,57.85075996553787,55.508330049583286,55.34824504969964
