Methylation_Level,Context_Type,intestine1,intestine2,intestine3,kidney1,kidney2,kidney3,liver1,liver2,liver3,spleen1,spleen2,spleen3
0,CG,0.0024767606850561795,0.002858282540593964,0.007758230213523412,0.005699629524080934,0.005553740694219101,0.004765184562007622,0.012169198640843868,0.00669398077693321,0.002642544351047852,0.02331652665099474,0.004056699020483744,0.005401623699496088
0,CHG,0.29956013954193844,0.3783346237770113,0.3184370571033889,0.3095002725450161,0.33500016341471384,0.2830134741095081,0.3724179025423729,0.28252422242207254,0.2769239553495808,0.4160308272022779,0.25939600492284387,0.28563153531943797
0,CHH,0.3426950606943343,0.43352816074004663,0.32469224101590066,0.29939591136670324,0.313938641395387,0.30285756772162875,0.37042959756581095,0.2931583769743534,0.2975959970052643,0.3582171806470872,0.28726628280939404,0.2557973191802786
10,CG,0.17895980719881968,0.21963916406033646,0.3008647510060179,0.24665222157385167,0.2528106679067876,0.2719741488165231,0.36161598334957573,0.29869016661636916,0.18615855150132554,0.4268576729414391,0.2231964595693075,0.28484913389139327
10,CHG,1.257015015925982,1.1446821989160274,1.827200803717192,1.564131228115559,5.210478151452757,1.7447733033485162,3.626522775423729,2.44939168207965,1.2485368708544675,2.792010162064468,0.9258733314399319,1.836630746337225
10,CHH,1.391040513128408,1.1900335618713347,1.9256547131293131,1.3118434161905843,1.0573172303114786,2.055813031301891,4.788421391597316,3.131225675209939,1.6226961540176634,2.7118877586167307,1.0001679480012935,1.7419212452702757
20,CG,0.8791748699473143,1.0575208718142854,1.0385783830623252,0.7521286910001643,0.7494483454603886,0.9231104850961699,1.1333810280648238,1.1077315033190804,1.0070454871348267,0.9013899460295139,0.8857112508153945,0.8944802966559698
20,CHG,16.32792355528591,21.82814809600901,14.60235733122836,13.771376306137345,19.7617413471909,11.738865277963065,16.78032309322034,17.961922861554648,18.75184378063055,13.310428903912225,20.230048281738142,6.600485373867711
20,CHH,16.76512663904352,17.23776379779592,15.233063190651894,13.387814813413543,20.001171412841025,12.33016927309227,14.702396729879933,20.65558198767684,20.797219308065838,13.609726974212954,20.00060160478075,6.845636156233131
30,CG,1.044524362838477,1.152777107316441,1.221680636828202,0.7774829953513339,0.7390147330859729,0.9416294649712579,1.3129800042856274,1.2822827971884687,1.1864444267538479,0.9113181823927177,0.9314148103265326,0.90123232628034
30,CHG,12.23835886546337,11.405469134933483,12.090741106187545,11.89404927983444,10.120273229401576,13.088182043414456,12.416412870762713,12.689834218519335,12.776567094582377,11.926785394589894,11.408690712865663,13.561505657701565
30,CHH,11.997044965446356,11.92710579673503,11.820834300384137,11.568990957587681,10.171377698642333,12.817913702941834,12.936339121615257,12.807553609105351,12.898251740866174,11.422305908287218,11.162526038206916,13.058160652416115
40,CG,1.6256452189082555,1.644893964069483,1.8293126645525004,1.1440611518981425,1.0406506182615702,1.3723960450570518,1.9230064466931613,1.950583744034629,1.8439036626078895,1.2665033097534188,1.416744649314588,1.320249366936097
40,CHG,12.821363567419992,11.847152811994087,12.951866669058681,12.716303735252543,11.211066444422656,13.75902879685922,12.479310116525424,12.691531060696045,13.033506846968587,12.96430489603492,12.251254378490959,14.362472410590337
40,CHH,12.342704943753043,12.21885116276764,12.306806932451698,12.387726533237487,11.197301064814273,13.107883714590201,12.572043189769044,12.155249951665644,12.394826335837553,12.361248249098717,11.72602918284524,13.531465463373388
50,CG,4.308701077893372,3.981936924691242,4.5432896121089055,3.3234456823798517,2.7021428163916292,3.8411622441569926,4.701295216639042,5.059733956147829,4.854565210746226,3.157917072958203,4.051923776596271,3.660389987451005
50,CHG,14.689822539056575,13.924473850918561,15.028435083690642,15.156274540599968,13.442494362192372,15.311314821520458,14.014499470338984,14.213598493204147,14.202106905969567,14.637805948899821,14.40026507620941,16.226068371800377
50,CHH,14.299303491437565,14.15621886107765,14.454370201257086,14.789199551032247,13.709747326250191,14.458846563731441,13.67456960286705,13.018753730151392,13.260154759306328,14.25704378975407,13.77449346130804,15.695638416396553
60,CG,4.467356195258792,3.9158431107768683,5.033057060616569,4.527202160431001,3.2828967614877342,4.743353988697929,5.393491594953307,5.651739830838732,4.7279840227957965,4.125044512887607,4.564788254887326,4.597560414584399
60,CHG,6.167526164113454,5.799957767297811,6.367844136273121,6.447768364452738,5.623100303951368,6.370185435764518,6.049721927966101,6.0679076239119,5.980986458323421,6.23619979709972,5.944333996023857,6.7423024298654735
60,CHH,6.135402845826754,6.0562570333685315,6.525816704006669,6.673476851676692,5.901577893096864,6.336960023792411,6.239471453262563,5.89132755562654,5.567485994447066,6.365243748421319,5.9348311621249685,7.0806931522366305
70,CG,6.7161718110687385,5.884060438066734,7.770676923085898,8.365423906176257,6.239709064246179,8.109211010193565,8.297341919343113,8.38355857503756,6.725407914826239,7.588311344690643,7.301105651675645,7.964724237518121
70,CHG,4.193841953587138,3.6601675230520168,4.582802604904828,4.975101395984812,3.746282315259666,4.815040689142574,4.459911281779661,4.492389662837459,3.9787596471360738,4.573781532664388,4.1172015525892265,4.969589229893438
70,CHH,4.52372304704583,4.255218945354135,4.97743021840349,5.4037556909184925,4.354375812667659,5.119581650102853,4.786230796697459,4.484797794272169,4.062607814007196,4.922271464327539,4.551390835052502,5.552290875055507
80,CG,22.75616065535879,21.223327460092023,22.819948247354546,26.042172734962705,23.8786848000023,25.35170896343425,22.647909836837165,23.08678727544678,22.759538653175497,23.7485814661576,25.11272839821116,25.02286756328354
80,CHG,10.20021234642803,9.050116139931019,10.285068441542132,11.864485074695812,9.482955845344316,11.412018067122792,9.641485699152543,9.662667775270222,9.644757001608252,10.48176028781149,10.580327558458771,11.974552826853358
80,CHH,10.513597853399649,10.119127292196493,10.847941721176754,12.533767167341377,11.015966357023206,11.99162308855238,10.03905830706445,9.592268184225347,9.763401794494474,11.200716434361293,11.28836170484768,12.878145283304837
90,CG,58.02082924084239,60.91714267657199,55.43483349117151,54.81573082670261,61.10908845246321,54.440688465014254,54.216808771193335,53.17219817059362,56.706309526107304,57.85075996553787,55.508330049583286,55.34824504969964
90,CHG,21.804375853177614,20.96149785317097,21.94524676629411,21.301009802381763,21.066607837369677,21.477578090754893,20.159394862288135,19.488232399504522,20.106011438577127,22.6608922497208,19.882609107261196,23.440761417771075
90,CHH,21.689360640224542,22.40589538809322,21.583389777523053,21.64402910723519,22.277226562957583,21.478351384173088,19.891039809681114,17.970083135092423,19.335760101952445,22.791338492273074,20.27433178002321,23.36025143653328
