Sample,Context_Type,Methylation_Level,Frequency
liver3,CHH,20,20.797219308065838
liver3,CHH,30,12.898251740866174
liver3,CHH,40,12.394826335837553
liver3,CHH,50,13.260154759306328
liver3,CHH,60,5.567485994447066
liver3,CHH,70,4.062607814007196
liver3,CHH,80,9.763401794494474
liver3,CHH,90,19.335760101952445
kidney3,CG,0,0.004765184562007622
kidney3,CG,10,0.2719741488165231
kidney3,CG,20,0.9231104850961699
kidney3,CG,30,0.9416294649712579
kidney3,CG,40,1.3723960450570518
kidney3,CG,50,3.8411622441569926
kidney3,CG,60,4.743353988697929
kidney3,CG,70,8.109211010193565
kidney3,CG,80,25.35170896343425
kidney3,CG,90,54.440688465014254
kidney3,CHG,0,0.2830134741095081
kidney3,CHG,10,1.7447733033485162
kidney3,CHG,20,11.738865277963065
kidney3,CHG,30,13.088182043414456
kidney3,CHG,40,13.75902879685922
kidney3,CHG,50,15.311314821520458
kidney3,CHG,60,6.370185435764518
kidney3,CHG,70,4.815040689142574
kidney3,CHG,80,11.412018067122792
kidney3,CHG,90,21.477578090754893
kidney3,CHH,0,0.30285756772162875
kidney3,CHH,10,2.055813031301891
kidney3,CHH,20,12.33016927309227
kidney3,CHH,30,12.817913702941834
kidney3,CHH,40,13.107883714590201
kidney3,CHH,50,14.458846563731441
kidney3,CHH,60,6.336960023792411
kidney3,CHH,70,5.119581650102853
kidney3,CHH,80,11.99162308855238
kidney3,CHH,90,21.478351384173088
intestine3,CG,0,0.007758230213523412
intestine3,CG,10,0.3008647510060179
intestine3,CG,20,1.0385783830623252
intestine3,CG,30,1.221680636828202
intestine3,CG,40,1.8293126645525004
intestine3,CG,50,4.5432896121089055
intestine3,CG,60,5.033057060616569
intestine3,CG,70,7.770676923085898
intestine3,CG,80,22.819948247354546
intestine3,CG,90,55.43483349117151
intestine3,CHG,0,0.3184370571033889
intestine3,CHG,10,1.827200803717192
intestine3,CHG,20,14.60235733122836
intestine3,CHG,30,12.090741106187545
intestine3,CHG,40,12.951866669058681
intestine3,CHG,50,15.028435083690642
intestine3,CHG,60,6.367844136273121
intestine3,CHG,70,4.582802604904828
intestine3,CHG,80,10.285068441542132
intestine3,CHG,90,21.94524676629411
intestine3,CHH,0,0.32469224101590066
intestine3,CHH,10,1.9256547131293131
intestine3,CHH,20,15.233063190651894
intestine3,CHH,30,11.820834300384137
intestine3,CHH,40,12.306806932451698
intestine3,CHH,50,14.454370201257086
intestine3,CHH,60,6.525816704006669
intestine3,CHH,70,4.97743021840349
intestine3,CHH,80,10.847941721176754
intestine3,CHH,90,21.583389777523053
intestine1,CG,0,0.0024767606850561795
intestine1,CG,10,0.17895980719881968
intestine1,CG,20,0.8791748699473143
intestine1,CG,30,1.044524362838477
intestine1,CG,40,1.6256452189082555
intestine1,CG,50,4.308701077893372
intestine1,CG,60,4.467356195258792
intestine1,CG,70,6.7161718110687385
intestine1,CG,80,22.75616065535879
intestine1,CG,90,58.02082924084239
intestine1,CHG,0,0.29956013954193844
intestine1,CHG,10,1.257015015925982
intestine1,CHG,20,16.32792355528591
intestine1,CHG,30,12.23835886546337
intestine1,CHG,40,12.821363567419992
intestine1,CHG,50,14.689822539056575
intestine1,CHG,60,6.167526164113454
intestine1,CHG,70,4.193841953587138
intestine1,CHG,80,10.20021234642803
intestine1,CHG,90,21.804375853177614
intestine1,CHH,0,0.3426950606943343
intestine1,CHH,10,1.391040513128408
intestine1,CHH,20,16.76512663904352
intestine1,CHH,30,11.997044965446356
intestine1,CHH,40,12.342704943753043
intestine1,CHH,50,14.299303491437565
intestine1,CHH,60,6.135402845826754
intestine1,CHH,70,4.52372304704583
intestine1,CHH,80,10.513597853399649
intestine1,CHH,90,21.689360640224542
spleen2,CG,0,0.004056699020483744
spleen2,CG,10,0.2231964595693075
spleen2,CG,20,0.8857112508153945
spleen2,CG,30,0.9314148103265326
spleen2,CG,40,1.416744649314588
spleen2,CG,50,4.051923776596271
spleen2,CG,60,4.564788254887326
spleen2,CG,70,7.301105651675645
spleen2,CG,80,25.11272839821116
spleen2,CG,90,55.508330049583286
spleen2,CHG,0,0.25939600492284387
spleen2,CHG,10,0.9258733314399319
spleen2,CHG,20,20.230048281738142
spleen2,CHG,30,11.408690712865663
spleen2,CHG,40,12.251254378490959
spleen2,CHG,50,14.40026507620941
spleen2,CHG,60,5.944333996023857
spleen2,CHG,70,4.1172015525892265
spleen2,CHG,80,10.580327558458771
spleen2,CHG,90,19.882609107261196
spleen2,CHH,0,0.28726628280939404
spleen2,CHH,10,1.0001679480012935
spleen2,CHH,20,20.00060160478075
spleen2,CHH,30,11.162526038206916
spleen2,CHH,40,11.72602918284524
spleen2,CHH,50,13.77449346130804
spleen2,CHH,60,5.9348311621249685
spleen2,CHH,70,4.551390835052502
spleen2,CHH,80,11.28836170484768
spleen2,CHH,90,20.27433178002321
spleen1,CG,0,0.02331652665099474
spleen1,CG,10,0.4268576729414391
spleen1,CG,20,0.9013899460295139
spleen1,CG,30,0.9113181823927177
spleen1,CG,40,1.2665033097534188
spleen1,CG,50,3.157917072958203
spleen1,CG,60,4.125044512887607
spleen1,CG,70,7.588311344690643
spleen1,CG,80,23.7485814661576
spleen1,CG,90,57.85075996553787
spleen1,CHG,0,0.4160308272022779
spleen1,CHG,10,2.792010162064468
spleen1,CHG,20,13.310428903912225
spleen1,CHG,30,11.926785394589894
spleen1,CHG,40,12.96430489603492
spleen1,CHG,50,14.637805948899821
spleen1,CHG,60,6.23619979709972
spleen1,CHG,70,4.573781532664388
spleen1,CHG,80,10.48176028781149
spleen1,CHG,90,22.6608922497208
spleen1,CHH,0,0.3582171806470872
spleen1,CHH,10,2.7118877586167307
spleen1,CHH,20,13.609726974212954
spleen1,CHH,30,11.422305908287218
spleen1,CHH,40,12.361248249098717
spleen1,CHH,50,14.25704378975407
spleen1,CHH,60,6.365243748421319
spleen1,CHH,70,4.922271464327539
spleen1,CHH,80,11.200716434361293
spleen1,CHH,90,22.791338492273074
intestine2,CG,0,0.002858282540593964
intestine2,CG,10,0.21963916406033646
intestine2,CG,20,1.0575208718142854
intestine2,CG,30,1.152777107316441
intestine2,CG,40,1.644893964069483
intestine2,CG,50,3.981936924691242
intestine2,CG,60,3.9158431107768683
intestine2,CG,70,5.884060438066734
intestine2,CG,80,21.223327460092023
intestine2,CG,90,60.91714267657199
intestine2,CHG,0,0.3783346237770113
intestine2,CHG,10,1.1446821989160274
intestine2,CHG,20,21.82814809600901
intestine2,CHG,30,11.405469134933483
intestine2,CHG,40,11.847152811994087
intestine2,CHG,50,13.924473850918561
intestine2,CHG,60,5.799957767297811
intestine2,CHG,70,3.6601675230520168
intestine2,CHG,80,9.050116139931019
intestine2,CHG,90,20.96149785317097
intestine2,CHH,0,0.43352816074004663
intestine2,CHH,10,1.1900335618713347
intestine2,CHH,20,17.23776379779592
intestine2,CHH,30,11.92710579673503
intestine2,CHH,40,12.21885116276764
intestine2,CHH,50,14.15621886107765
intestine2,CHH,60,6.0562570333685315
intestine2,CHH,70,4.255218945354135
intestine2,CHH,80,10.119127292196493
intestine2,CHH,90,22.40589538809322
