Methylation_Level,intestine1,intestine2,intestine3,kidney1,kidney2,kidney3,liver1,liver2,liver3,spleen1,spleen2,spleen3
0,0.29956013954193844,0.3783346237770113,0.3184370571033889,0.3095002725450161,0.33500016341471384,0.2830134741095081,0.3724179025423729,0.28252422242207254,0.2769239553495808,0.4160308272022779,0.25939600492284387,0.28563153531943797
10,1.257015015925982,1.1446821989160274,1.827200803717192,1.564131228115559,5.210478151452757,1.7447733033485162,3.626522775423729,2.44939168207965,1.2485368708544675,2.792010162064468,0.9258733314399319,1.836630746337225
20,16.32792355528591,21.82814809600901,14.60235733122836,13.771376306137345,19.7617413471909,11.738865277963065,16.78032309322034,17.961922861554648,18.75184378063055,13.310428903912225,20.230048281738142,6.600485373867711
30,12.23835886546337,11.405469134933483,12.090741106187545,11.89404927983444,10.120273229401576,13.088182043414456,12.416412870762713,12.689834218519335,12.776567094582377,11.926785394589894,11.408690712865663,13.561505657701565
40,12.821363567419992,11.847152811994087,12.951866669058681,12.716303735252543,11.211066444422656,13.75902879685922,12.479310116525424,12.691531060696045,13.033506846968587,12.96430489603492,12.251254378490959,14.362472410590337
50,14.689822539056575,13.924473850918561,15.028435083690642,15.156274540599968,13.442494362192372,15.311314821520458,14.014499470338984,14.213598493204147,14.202106905969567,14.637805948899821,14.40026507620941,16.226068371800377
60,6.167526164113454,5.799957767297811,6.367844136273121,6.447768364452738,5.623100303951368,6.370185435764518,6.049721927966101,6.0679076239119,5.980986458323421,6.23619979709972,5.944333996023857,6.7423024298654735
70,4.193841953587138,3.6601675230520168,4.582802604904828,4.975101395984812,3.746282315259666,4.815040689142574,4.459911281779661,4.492389662837459,3.9787596471360738,4.573781532664388,4.1172015525892265,4.969589229893438
80,10.20021234642803,9.050116139931019,10.285068441542132,11.864485074695812,9.482955845344316,11.412018067122792,9.641485699152543,9.662667775270222,9.644757001608252,10.48176028781149,10.580327558458771,11.974552826853358
90,21.804375853177614,20.96149785317097,21.94524676629411,21.301009802381763,21.066607837369677,21.477578090754893,20.159394862288135,19.488232399504522,20.106011438577127,22.6608922497208,19.882609107261196,23.440761417771075
